TIPUS_VIA_ABR;TIPUS_VIA
Apar;Apartat
Av;Avinguda
Bar;Barriada
Bda;Baixada
Bnc;Barranc
C;Carrer
Camí;Camí
Canl;Canal
Cint;Cinturó
Cro;Carreró
Csta;Costa
Ctra;Carretera
Dav;Davallada
Dic;Dic
Drec;Drecera
E.A.;Entitat Autoidentificant
E.M.;Estació Metro
Era;Era
Esc;Escales
Escu;Escullera
Esp;Espigó
Est;Estació
Font;Font
Gal;Galeria
Gru;Grup
G.V.;Gran Via
Habi;Habitacle
Jard;Jardins
Jrdi;Jardí
Mdor;Mirador
Merc;Mercat
Moll;Moll
Nus;Nus
Pant;Pantalà
Parc;Parc
Pas;Pas
Pati;Pati
Pav;Pavelló
Pda;Pujada
Pdis;Passadís
Pg;Passeig
Pl;Plaça
Pla;Pla
Plta;Placeta
Polg;Polígon
Pont;Pont
Port;Port
Prti;Pòrtics
Pta;Porta
Ptge;Passatge
Ptja;Platja
Racó;Racó
Rbla;Rambla
Rda;Ronda
Rec;Rec
Rier;Riera
Rtda;Rotonda
Sal;Saló
Sec;Sèquia
Stor;Sector
T;Torrent
Trav;Travessera
Trvs;Travessia
Tunl;Túnel
Urb;Urbanització
V.F.;Via Ferrocarril
Via;Via
Viad;Viaducte
Vial;Vial
